,แขวง,ประเภทอาหาร,Restaurant Name,Link,description
,,,,,
1,สีลม,Chinese,แสนยอดโภชนา,"https://www.google.com/maps/place/Grand+Sanyod/@13.7188437,100.5150969,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29ed353f2c58b:0x6d8a572c76c3e8ac!8m2!3d13.7188385!4d100.5176718!16s%2Fg%2F1v_v_tvj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารจีนกวางตุ้งเก่าแก่กว่า 50 ปี มีเมนูราดหน้าและเป็ดย่าง
2,สีลม,Healthy,โจ๊กปริ้นซ์,"https://www.google.com/maps/place/Jok+Prince/@13.720398,100.5134017,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298c5ae4db7f9:0xa7904c168b6f6d83!8m2!3d13.7208579!4d100.516151!16s%2Fg%2F12qg0b0tr?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านโจ๊กชื่อดังที่ทำจากเตาถ่าน มีความหอมเป็นเอกลักษณ์
3,สีลม,Chinese,ร้านประจักษ์,"https://www.google.com/maps/place/Prachak+(Roasted+Duck)/@13.7264095,100.537303,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298c5ae7f1d55:0xb3b1bf2284911ad0!8m2!3d13.7203928!4d100.5159766!16s%2Fg%2F1hc8ld1sz?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านเก่าแก่ในย่านบางรักที่มีอายุมากกว่า 100 ปี
4,สีลม,Western,BITTERMAN,"https://www.google.com/maps/place/Bitterman/@13.7271025,100.5419286,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2f0c7ce703:0x109018d262c6d2cd!8m2!3d13.7264043!4d100.5398779!16s%2Fg%2F11b775h1hy?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านขาหมูต้นตำรับระดับตำนานกว่า 60 ปี
5,สีลม,Thai,นอร์ธ อีสต์,"https://www.google.com/maps/place/Northeast/@13.7271077,100.5393537,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2baa0d02a9:0x6786ecac570628b5!8m2!3d13.7271025!4d100.5419286!16s%2Fg%2F1hc4tq1zn?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารอีสานลูกค้ากว่าครึ่งเป็นชาวต่างชาติ แต่รสชาติแซ่บสะเด็ดสไตล์คนไทย
6,สีลม,Japanese,ภัตตาคาร เดอะเจแปน,"https://www.google.com/maps/place/The+Japan+Restaurant/@13.7233867,100.5280178,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2d580e5c79:0xcb34273c2fff337e!8m2!3d13.7233815!4d100.5305927!16s%2Fg%2F11bz0vxpyh?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารสมาคมญี่ปุ่นแห่งประเทศไทย ราคาเป็นมิตร
7,สีลม,Thai,เย็นตาโฟ คอนแวนต์,"https://www.google.com/maps/place/Yentafo+Convent/@13.7208631,100.5135761,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2dcf7d29b5:0x554b14d02d6fe67d!8m2!3d13.7251712!4d100.5343467!16s%2Fg%2F1pv6y3gpg?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านเย็นตาโฟเจ้าดังในซอยคอนแวนต์ ร้านเก่าแก่เปิดมานานเกือบ 50 ปี ดีกรีมิชลินไกด์ปี 2018
8,สีลม,Western,ซานอตติ,"https://www.google.com/maps/place/Zanotti+IL+Ristorante+Italiano/@13.7251764,100.5294758,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2eec7cf853:0x7565346a4136d67a!8m2!3d13.7268154!4d100.5368566!16s%2Fg%2F1tfyb0f1?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารItalian สุดคลาสสิคร้านหนึ่งในซอยศาลาแดง บรรยากาศหรูหรา สบายๆ เมนูเด็ดของที่ร้านคือ“พิซซ่า” 
9,สีลม,Western,Brasserie 9,"https://www.google.com/maps/place/Brasserie+9/@13.7242285,100.5330566,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2d970c0e35:0x387d286f6a49276e!8m2!3d13.7242285!4d100.5330566!16s%2Fg%2F11gcqx4b9s?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารสไตล์ฝรั่งเศสต้นตำรับ บรรยากาศสไตล์บิสโทร
